Team,Elo
MEX,1663.985883905133
KAZ,1616.149331295613
PER,1604.9110104212523
BOL,1577.0928945429196
POL,1570.8917743477703
LVA,1550.5857909139934
ARG,1547.6555883053813
IND,1543.6776167627997
UKR,1541.2073392266143
JAM,1540.4576316176178
LAO,1539.2109061709573
TKM,1536.1546919108391
GTM,1533.5468841493764
CHE,1533.4443874208175
HPE,1532.1755028929608
PRI,1529.0165767334565
IRN,1528.2021377994615
SRB,1525.47537614841
VNM,1525.2944178099156
IDN,1524.2580357859324
MDA,1524.1486651446153
PSE,1524.0746376465222
URY,1523.1582848700516
LKA,1522.5415936946376
LBN,1521.342312133498
BMU,1520.531171766975
NPL,1520.526553577446
NAM,1520.2350538503463
QAT,1519.8277814544251
SYC,1518.2339546793785
PAK,1517.8732158676212
UZB,1517.2454536840783
ISL,1517.0254190511378
ITA,1516.781495872885
ROU,1516.744631805688
IRQ,1516.5198995623778
HND,1516.3594839887585
JOR,1514.7210074371817
TUR,1514.1126960993276
CAN,1513.3864177447822
ISR,1513.3468175892294
LBY,1512.6874828147322
CYP,1512.5045391637013
KOR,1511.599207901803
MDG,1511.0436071462893
ZWE,1510.8476661303544
GEO,1510.6310828634828
ECU,1510.539265863873
BRA,1510.3574205557532
USA,1509.1046137006492
CUB,1508.763353267843
MNE,1508.421959662979
DOM,1508.0830333878116
MWI,1508.0655771113588
SEN,1507.8315660626347
AZE,1507.4487744873668
DNK,1506.9676055663665
CRI,1506.7515967967927
VCT,1506.2645749449453
THA,1504.9861744330708
KHM,1504.676371593491
BIH,1504.5164997071802
ALB,1504.232391616164
JPN,1504.1243577563816
MLT,1504.064374241972
KNA,1503.8174368833493
PHL,1503.163745861713
GRD,1502.6240545981318
SVN,1501.815031995209
AFG,1501.6545053385687
PAN,1501.0672025268743
NER,1500.6783636080145
GMB,1500.4587838249552
BGD,1499.8268174463624
PNG,1499.761868372009
SLE,1499.169443846352
FSM,1498.9182376780784
NZL,1498.3450242743404
KGZ,1498.3173359343916
TCD,1497.470445468045
SYR,1497.3384656286873
ARE,1497.032258410389
EST,1496.7710937717875
TUN,1495.9843804014058
ZAF,1495.585661263228
GRC,1494.756211692146
HRV,1494.59280974751
CPV,1494.3337968988044
SDN,1493.7820089171578
COL,1493.3868561856916
BGR,1493.101145712219
GBR,1492.702700158385
MYS,1492.065712426614
CZE,1491.8433658983818
AUT,1491.7919446064836
BEN,1491.77247376118
LSO,1491.597386124662
GNB,1490.9946125962517
TGO,1489.379200384657
ESP,1488.9914793088851
VEN,1488.2503588154495
BLZ,1488.0986776778739
FRA,1488.0779328474714
LUX,1487.6407657842929
SUR,1487.0936270500913
TON,1487.0598119751098
SWZ,1486.5529511363573
TJK,1486.5528831530514
ETH,1486.36160636608
DEU,1485.8807058639186
HKG,1485.427715178464
CHL,1485.1845566037482
KIR,1485.0673767071971
ARM,1485.006130016128
SLV,1484.7431055894085
SVK,1484.467621496888
BLR,1483.7668866016072
BWA,1483.750281555929
LBR,1483.7155945141874
GUM,1483.3758072663304
VUT,1483.334621132999
DZA,1483.230539068143
BFA,1482.0144414362173
PRT,1481.9637379211724
BHS,1481.862351410582
BRB,1481.4358782257511
FJI,1480.5981537390203
MHL,1480.5665296394
ZMB,1480.0864245362811
AUS,1479.946568545901
DMA,1479.8921890318525
LTU,1479.483370653239
BTN,1478.4191853935165
MKD,1478.3924586633027
NIC,1478.3349007375048
ERI,1477.2930773596006
DJI,1477.2652161444285
ATG,1477.0363703090302
GNQ,1476.1975577908943
CYM,1476.1587510686047
OMN,1476.0405473221008
NLD,1475.8673816014696
FIN,1474.5234907949348
TZA,1471.7259049976246
KEN,1470.8928167258828
PRY,1470.8676217755694
NOR,1468.5701008330777
STP,1468.4586974715965
MAR,1467.4162165045025
MUS,1464.4395477236908
NGA,1464.3584801611973
MOZ,1463.942640868953
MLI,1461.805374242893
CIV,1461.7276269298259
GIN,1460.356390092477
AGO,1460.0951978856358
MRT,1459.8967911581583
BRN,1453.2222322533848
EGY,1452.9181737401304
HUN,1446.4127788675771
XXK,1439.322575742874
KWT,1436.0174092893162
